연번,읍면,경로당명,경로당 주소,데이터기준일
123,안남면,학촌,충청북도 옥천군 안남면 화학2길 17,2022-06-15
124,안남면,만곡,충청북도 옥천군 안남면 화학3길 29,2022-06-15
125,안남면,엽송골,충청북도 옥천군 안남면 화학1길 35-6,2022-06-15
126,안남면,수일,충청북도 옥천군 안남면 화학4길 88,2022-06-15
127,안남면,농막,충청북도 옥천군 안남면 도농2길 34,2022-06-15
128,안남면,도성,충청북도 옥천군 안남면 도농1길 88-10,2022-06-15
129,안남면,소야,충청북도 옥천군 안남면 도농4길 3,2022-06-15
130,안내면,현1,충청북도 옥천군 안내면 현리길 84,2022-06-15
131,안내면,현리2,충청북도 옥천군 안내면 현리5길 15,2022-06-15
132,안내면,신촌,충청북도 옥천군 안내면 현리길 131,2022-06-15
133,안내면,정곡,충청북도 옥천군 안내면 정방2길 8,2022-06-15
134,안내면,방곡,충청북도 옥천군 안내면 정방1길 21,2022-06-15
135,안내면,도이,충청북도 옥천군 안내면 도이길 75,2022-06-15
136,안내면,동대,충청북도 옥천군 안내면 동대1길 15-2,2022-06-15
137,안내면,북대,충청북도 옥천군 안내면 동대5길 39-1,2022-06-15
138,안내면,새터말,충청북도 옥천군 안내면 동대4길 19,2022-06-15
139,안내면,뱀골,충청북도 옥천군 안내면 서대1길 22,2022-06-15
140,안내면,서대,충청북도 옥천군 안내면 방하목로 79,2022-06-15
141,안내면,오덕1,충청북도 옥천군 안내면 오덕2길 18-1,2022-06-15
142,안내면,오덕2,충청북도 옥천군 안내면 오덕1길 27-4,2022-06-15
143,안내면,화인,충청북도 옥천군 안내면 인포1길 11,2022-06-15
144,안내면,관골,충청북도 옥천군 안내면 인포2길 67-6,2022-06-15
145,안내면,장계,충청북도 옥천군 안내면 장계1길 1-7,2022-06-15
146,안내면,방하목,충청북도 옥천군 안내면 방하목로1길 25,2022-06-15
147,안내면,도촌,충청북도 옥천군 안내면 도율길 9,2022-06-15
148,안내면,율티,충청북도 옥천군 안내면 안내수한로 291,2022-06-15
149,안내면,월외,충청북도 옥천군 안내면 월외2길 4,2022-06-15
150,안내면,용촌,충청북도 옥천군 안내면 용촌2길 16,2022-06-15
151,안내면,용수말,충청북도 옥천군 안내면 용촌1길 4-2,2022-06-15
152,안내면,답양,충청북도 옥천군 안내면 답양2길 11,2022-06-15
153,청성면,산계1,충청북도 옥천군 청성면 산계길 42,2022-06-15
154,청성면,산계2,충청북도 옥천군 청성면 산계길 81,2022-06-15
155,청성면,산계3,충청북도 옥천군 청성면 산계2길 102,2022-06-15
156,청성면,거포,충청북도 옥천군 청성면 거포3길 8,2022-06-15
157,청성면,상포,충청북도 옥천군 청성면 거포2길 17,2022-06-15
158,청성면,만명,충청북도 옥천군 청성면 장수로1길 44,2022-06-15
159,청성면,무회,충청북도 옥천군 청성면 장수로2길 36-1,2022-06-15
