시도코드,시도명,시군구코드,시군구명,읍면동코드,읍면동명,연도,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율
42,강원도,42830,강원도 양양군,3241011,양양읍,2013,-12.52553827,3,4.160246533,2,40.74567244
42,강원도,42830,강원도 양양군,3241031,서면,2013,-61.52885683,3,0,1,26.52925532
42,강원도,42830,강원도 양양군,3241032,손양면,2013,-53.24534833,3,6.818181818,1,28.96064581
42,강원도,42830,강원도 양양군,3241033,현북면,2013,-46.6978127,2,1.538461538,1,25.1984127
42,강원도,42830,강원도 양양군,3241034,현남면,2013,-57.66509434,2,-8.894230769,3,34.82758621
42,강원도,42830,강원도 양양군,3241035,강현면,2013,-51.24857396,3,0.815217391,2,25.15905147
43,충청북도,43110,충청북도 청주시,3301151,중앙동,2013,-32.28058511,4,-20.33531639,3,79.65087282
43,충청북도,43110,충청북도 청주시,3301152,성안동,2013,-30.86073392,5,-16.56213705,3,81.95386703
43,충청북도,43110,충청북도 청주시,3301158,우암동,2013,-50.34642766,5,-7.961399276,3,77.14766985
43,충청북도,43110,충청북도 청주시,3301159,내덕제1동,2013,-53.45604489,5,-11.2467306,1,84.74796748
43,충청북도,43110,충청북도 청주시,3301160,내덕제2동,2013,-28.36721019,4,-3.558718861,1,79.10946197
46,전라남도,46770,전라남도 고흥군,3635035,포두면,2013,-70.70639641,5,-22.65625,1,42.96116505
46,전라남도,46770,전라남도 고흥군,3635036,봉래면,2013,-85.4442898,5,-18.69158879,3,71.98312236
46,전라남도,46770,전라남도 고흥군,3635037,동일면,2013,-64.98054475,5,-16.88311688,3,40.98073555
46,전라남도,46770,전라남도 고흥군,3635038,점암면,2013,-82.13174274,5,-9.401709402,1,74.62198611
46,전라남도,46770,전라남도 고흥군,3635039,영남면,2013,-57.29517396,5,-5.454545455,1,67.77202073
46,전라남도,46770,전라남도 고흥군,3635040,과역면,2013,-68.0932732,5,-23.34384858,2,71.69062965
46,전라남도,46770,전라남도 고흥군,3635041,남양면,2013,-73.26035118,5,-25.47169811,2,60.97366321
46,전라남도,46770,전라남도 고흥군,3635042,동강면,2013,-72.15974497,5,-12.37623762,2,67.06507304
46,전라남도,46770,전라남도 고흥군,3635043,대서면,2013,-77.57018393,5,-38.46153846,4,72.32432432
46,전라남도,46770,전라남도 고흥군,3635044,두원면,2013,-72.40656654,5,-13.91304348,2,51.55010815
46,전라남도,46780,전라남도 보성군,3636011,보성읍,2013,-50.19424582,5,2.938295788,1,63.00703083
46,전라남도,46780,전라남도 보성군,3636012,벌교읍,2013,-64.81208331,3,-10.53921569,3,73.75729841
46,전라남도,46780,전라남도 보성군,3636031,노동면,2013,-76.4997842,5,-29.54545455,2,68.4430512
46,전라남도,46780,전라남도 보성군,3636032,미력면,2013,-69.76413176,3,-2.739726027,1,61.71875
46,전라남도,46780,전라남도 보성군,3636033,겸백면,2013,-75.53366174,3,-34.48275862,1,60.33210332
46,전라남도,46780,전라남도 보성군,3636034,율어면,2013,-78.65497076,5,-39.43661972,2,60.33464567
46,전라남도,46780,전라남도 보성군,3636035,복내면,2013,-79.10203052,5,-22.56097561,1,57.99731183
46,전라남도,46780,전라남도 보성군,3636036,문덕면,2013,-85.48618586,5,-29.6875,2,61.49870801
46,전라남도,46780,전라남도 보성군,3636037,조성면,2013,-71.44731089,5,-26.47058824,2,66.45105649
46,전라남도,46780,전라남도 보성군,3636038,득량면,2013,-75.32359349,5,-25.74850299,1,63.30850647
46,전라남도,46780,전라남도 보성군,3636039,회천면,2013,-68.23851204,5,-15.85365854,3,61.56547918
46,전라남도,46780,전라남도 보성군,3636040,웅치면,2013,-72.83138402,5,-28.98550725,3,66.59217877
46,전라남도,46790,전라남도 화순군,3637011,화순읍,2013,-6.866589954,2,1.909792767,1,53.89211335
46,전라남도,46790,전라남도 화순군,3637031,한천면,2013,-78.15890236,5,-18.57142857,2,47.45417515
46,전라남도,46790,전라남도 화순군,3637032,춘양면,2013,-71.98302954,5,-17.58241758,3,63.68977673
46,전라남도,46790,전라남도 화순군,3637033,청풍면,2013,-79.7182515,5,-20.83333333,3,62.45733788
46,전라남도,46790,전라남도 화순군,3637034,이양면,2013,-78.2013103,5,-32.25806452,3,69.19345058
46,전라남도,46790,전라남도 화순군,3637035,능주면,2013,-61.13447903,4,-8.766233766,2,56.04665439
46,전라남도,46790,전라남도 화순군,3637036,도곡면,2013,-66.38325703,1,6.355932203,1,44
46,전라남도,46790,전라남도 화순군,3637037,도암면,2013,-75.63865235,1,-14.70588235,3,65.68421053
46,전라남도,46790,전라남도 화순군,3637038,이서면,2013,-84.58809618,2,-7.894736842,0,45.3854506
46,전라남도,46790,전라남도 화순군,3637039,북면,2013,-77.85351704,5,-35.77981651,3,66.12515042
46,전라남도,46790,전라남도 화순군,3637040,동복면,2013,-73.198273,4,-25.71428571,5,65.59604694
46,전라남도,46790,전라남도 화순군,3637041,남면,2013,-75.15295293,5,-38.33333333,2,52.81385281
46,전라남도,46790,전라남도 화순군,3637042,동면,2013,-73.06843267,5,4.04040404,1,58.53496851
46,전라남도,46800,전라남도 장흥군,3638011,장흥읍,2013,-57.03504567,1,8.290488432,1,63.56728654
46,전라남도,46800,전라남도 장흥군,3638012,관산읍,2013,-73.11667609,3,-25.64102564,5,63.93232504
46,전라남도,46800,전라남도 장흥군,3638013,대덕읍,2013,-83.70481364,1,-11.49425287,4,62.79958319
46,전라남도,46800,전라남도 장흥군,3638031,용산면,2013,-72.80885781,2,-28.44827586,3,67.09894332
46,전라남도,46800,전라남도 장흥군,3638032,안양면,2013,-68.02024482,2,-5.882352941,1,52.86975717
47,경상북도,47150,경상북도 김천시,3703038,감천면,2013,-73.2256116,1,-3.076923077,1,54.51532726
47,경상북도,47150,경상북도 김천시,3703039,조마면,2013,-63.35604159,2,-5.454545455,1,51.05533371
47,경상북도,47150,경상북도 김천시,3703040,구성면,2013,-69.09861669,3,-10.18518519,1,56.06319385
47,경상북도,47150,경상북도 김천시,3703041,지례면,2013,-70.8231601,2,-14.61538462,1,37.72775991
47,경상북도,47150,경상북도 김천시,3703042,부항면,2013,-77.85104732,2,-16.36363636,1,56.152513
47,경상북도,47150,경상북도 김천시,3703043,대덕면,2013,-70.27112232,2,-5,2,49.34797529
47,경상북도,47150,경상북도 김천시,3703044,증산면,2013,-72.52289759,2,6.451612903,1,57.04433498
47,경상북도,47150,경상북도 김천시,3703055,양금동,2013,-28.32191321,5,-2.788104089,1,60.91503268
47,경상북도,47150,경상북도 김천시,3703056,대신동,2013,10.68030647,2,4.661654135,0,37.04866562
47,경상북도,47150,경상북도 김천시,3703058,대곡동,2013,-12.0424261,3,-1.794071763,3,56.91423882
47,경상북도,47150,경상북도 김천시,3703059,지좌동,2013,6.454971369,1,6.25,1,56.06980273
47,경상북도,47150,경상북도 김천시,3703060,자산동,2013,16.38000537,5,-16.36249213,4,83.26530612
47,경상북도,47150,경상북도 김천시,3703061,평화남산동,2013,,5,-16.44777986,3,77.07317073
47,경상북도,47170,경상북도 안동시,3704011,풍산읍,2013,-63.81829208,3,4.92845787,0,64.75849732
47,경상북도,47170,경상북도 안동시,3704031,와룡면,2013,-68.68807926,1,-2.564102564,1,63.16489362
47,경상북도,47170,경상북도 안동시,3704032,북후면,2013,-64.16129032,3,-19.6969697,4,65.45378503
47,경상북도,47170,경상북도 안동시,3704033,서후면,2013,-43.28284694,3,5.847953216,1,54.51388889
47,경상북도,47170,경상북도 안동시,3704034,풍천면,2013,-68.62714263,4,-4.104477612,3,67.11711712
