연번,읍면,경로당명,경로당 주소,Latitude,Longitude,데이터기준일
87,동이면,용죽,충청북도 옥천군 동이면 적하4길 28,36.2713956,127.6390336,2022-06-15
88,동이면,용죽아랫말,충청북도 옥천군 동이면 적하길 151,36.272858,127.6415736,2022-06-15
89,동이면,압구정,충청북도 옥천군 동이면 금암3길 5-3,36.2903806,127.6409797,2022-06-15
90,동이면,금암2,충청북도 옥천군 동이면 옥천동이로 783,36.2858587,127.6381063,2022-06-15
91,동이면,금암3,충청북도 옥천군 동이면 금암4길 69-14,36.2930106,127.6356727,2022-06-15
92,동이면,용곡(女),충청북도 옥천군 동이면 금암4길 67-3,36.2935934,127.6352952,2022-06-15
93,동이면,봉곡,충청북도 옥천군 동이면 금암6길 135-2,36.2915847,127.6304054,2022-06-15
94,동이면,조령1,충청북도 옥천군 동이면 조령2길 6,36.2801644,127.6710814,2022-06-15
95,동이면,조령2,충청북도 옥천군 동이면 조령1길 4,36.2905015,127.6909253,2022-06-15
96,동이면,마티,충청북도 옥천군 동이면 청마1길 43-3,36.3052033,127.6611075,2022-06-15
97,동이면,가덕,충청북도 옥천군 동이면 청마2길 50-8,36.3096932,127.6874144,2022-06-15
98,동이면,우산1,충청북도 옥천군 동이면 우산로3길 63,36.2713401,127.6886532,2022-06-15
99,동이면,우산2,충청북도 옥천군 동이면 우산로2길 48,36.2772172,127.6839046,2022-06-15
100,동이면,지매,충청북도 옥천군 동이면 우산로1길 153-2,36.2678282,127.6721488,
101,동이면,현동,충청북도 옥천군 동이면 지양2길 90-1,36.3056207,127.6275141,2022-06-15
102,동이면,지장,충청북도 옥천군 동이면 지양1길 113-2,36.3155625,127.633444,2022-06-15
103,동이면,석탄1,충청북도 옥천군 동이면 안터1길 14,36.3192235,127.6208284,2022-06-15
104,동이면,석탄2,충청북도 옥천군 동이면 선사로 309,36.3100773,127.622309,2022-06-15
105,동이면,남곡,충청북도 옥천군 동이면 선사로 83,36.31,127.6114375,2022-06-15
106,동이면,목사,충청북도 옥천군 동이면 남곡3길 17,36.3057428,127.6028934,2022-06-15
107,안남면,연주,충청북도 옥천군 안남면 연주2길 9,36.3568159,127.6746665,2022-06-15
108,안남면,독락정,충청북도 옥천군 안남면 연주길 150,36.3486564,127.6670638,2022-06-15
109,안남면,중촌,충청북도 옥천군 안남면 연주길 70,36.3542345,127.6721666,2022-06-15
110,안남면,미산,충청북도 옥천군 안남면 종미3길 106,36.3407969,127.6702805,2022-06-15
111,안남면,종배,충청북도 옥천군 안남면 종미1길 41,36.3445236,127.6741689,2022-06-15
112,안남면,진벌,충청북도 옥천군 안남면 지수1길 212-1,36.3412199,127.6838621,2022-06-15
113,안남면,모산,충청북도 옥천군 안남면 지수2길 6,36.3460071,127.689493,2022-06-15
114,안남면,지수2(수동),충청북도 옥천군 안남면 안남로 919,36.3234044,127.6833582,2022-06-15
115,안남면,잔다리(세교),충청북도 옥천군 안남면 지수3길 26,36.333318,127.6843098,2022-06-15
116,안남면,서당골,충청북도 옥천군 안남면 도덕2길 64,36.3540949,127.6826414,2022-06-15
117,안남면,하서당,충청북도 옥천군 안남면 도덕2길 15-3,36.3540598,127.6778146,2022-06-15
118,안남면,도근,충청북도 옥천군 안남면 도덕3길 1-2,36.3595424,127.6867371,2022-06-15
119,안남면,덕실,충청북도 옥천군 안남면 도덕1길 85,36.3517623,127.6849626,2022-06-15
120,안남면,심청,충청북도 옥천군 안남면 청정1길 27-7,36.3643543,127.6766885,2022-06-15
121,안남면,청정,충청북도 옥천군 안남면 청정2길 3,36.3682652,127.6829683,2022-06-15
122,안남면,상송점촌,충청북도 옥천군 안남면 청정3길 29-8,36.3687535,127.686224,2022-06-15
123,안남면,학촌,충청북도 옥천군 안남면 화학2길 17,36.3758864,127.6727503,2022-06-15
124,안남면,만곡,충청북도 옥천군 안남면 화학3길 29,36.3786235,127.6705177,2022-06-15
125,안남면,엽송골,충청북도 옥천군 안남면 화학1길 35-6,36.3707015,127.6729896,2022-06-15
126,안남면,수일,충청북도 옥천군 안남면 화학4길 88,36.377848,127.6825357,2022-06-15
127,안남면,농막,충청북도 옥천군 안남면 도농2길 34,36.3763066,127.6944644,2022-06-15
128,안남면,도성,충청북도 옥천군 안남면 도농1길 88-10,36.3834257,127.6908998,2022-06-15
129,안남면,소야,충청북도 옥천군 안남면 도농4길 3,36.3657255,127.7011502,2022-06-15
130,안내면,현1,충청북도 옥천군 안내면 현리길 84,36.3940711,127.6598488,2022-06-15
131,안내면,현리2,충청북도 옥천군 안내면 현리5길 15,36.3932187,127.6487565,2022-06-15
132,안내면,신촌,충청북도 옥천군 안내면 현리길 131,36.391718,127.6554945,2022-06-15
133,안내면,정곡,충청북도 옥천군 안내면 정방2길 8,36.3973115,127.6698326,2022-06-15
134,안내면,방곡,충청북도 옥천군 안내면 정방1길 21,36.3935405,127.671764,2022-06-15
135,안내면,도이,충청북도 옥천군 안내면 도이길 75,36.4035726,127.6748457,2022-06-15
136,안내면,동대,충청북도 옥천군 안내면 동대1길 15-2,36.4087077,127.6698966,2022-06-15
137,안내면,북대,충청북도 옥천군 안내면 동대5길 39-1,36.4136999,127.6678205,2022-06-15
138,안내면,새터말,충청북도 옥천군 안내면 동대4길 19,36.4122291,127.6716321,2022-06-15
139,안내면,뱀골,충청북도 옥천군 안내면 서대1길 22,36.4089864,127.6616274,2022-06-15
140,안내면,서대,충청북도 옥천군 안내면 방하목로 79,36.4116966,127.663806,2022-06-15
141,안내면,오덕1,충청북도 옥천군 안내면 오덕2길 18-1,36.3925097,127.7173607,2022-06-15
142,안내면,오덕2,충청북도 옥천군 안내면 오덕1길 27-4,36.3961015,127.6959707,2022-06-15
143,안내면,화인,충청북도 옥천군 안내면 인포1길 11,36.3759179,127.6548034,2022-06-15
144,안내면,관골,충청북도 옥천군 안내면 인포2길 67-6,36.3718618,127.6601177,2022-06-15
145,안내면,장계,충청북도 옥천군 안내면 장계1길 1-7,36.3725204,127.63352,2022-06-15
146,안내면,방하목,충청북도 옥천군 안내면 방하목로1길 25,36.4331774,127.6658409,2022-06-15
147,안내면,도촌,충청북도 옥천군 안내면 도율길 9,36.3992963,127.6429528,2022-06-15
148,안내면,율티,충청북도 옥천군 안내면 안내수한로 291,36.40999,127.6420821,2022-06-15
149,안내면,월외,충청북도 옥천군 안내면 월외2길 4,36.4248519,127.6451014,2022-06-15
150,안내면,용촌,충청북도 옥천군 안내면 용촌2길 16,36.4272632,127.6281664,2022-06-15
151,안내면,용수말,충청북도 옥천군 안내면 용촌1길 4-2,36.4150606,127.6249496,2022-06-15
152,안내면,답양,충청북도 옥천군 안내면 답양2길 11,36.3970214,127.6072052,2022-06-15
153,청성면,산계1,충청북도 옥천군 청성면 산계길 42,36.3265089,127.7598803,2022-06-15
154,청성면,산계2,충청북도 옥천군 청성면 산계길 81,36.3297707,127.7594821,2022-06-15
155,청성면,산계3,충청북도 옥천군 청성면 산계2길 102,36.3263325,127.7514531,2022-06-15
156,청성면,거포,충청북도 옥천군 청성면 거포3길 8,36.3311782,127.7372494,2022-06-15
157,청성면,상포,충청북도 옥천군 청성면 거포2길 17,36.3339883,127.7391216,2022-06-15
158,청성면,만명,충청북도 옥천군 청성면 장수로1길 44,36.314311,127.7456184,2022-06-15
159,청성면,무회,충청북도 옥천군 청성면 장수로2길 36-1,36.3060552,127.7354333,2022-06-15
160,청성면,점동,충청북도 옥천군 청성면 장수로 552-3,36.3231391,127.7244297,2022-06-15
161,청성면,궁촌,충청북도 옥천군 청성면 궁촌길 19-2,36.3088409,127.7576071,2022-06-15
162,청성면,서평,충청북도 옥천군 청성면 소서길 34,36.3158233,127.7715528,2022-06-15
163,청성면,소서,충청북도 옥천군 청성면 소서길 243,36.3009024,127.774968,2022-06-15
164,청성면,삼남,충청북도 옥천군 청성면 삼남1길 23,36.2960358,127.7539831,2022-06-15
165,청성면,삼거리,충청북도 옥천군 청성면 삼남2길 90-1,36.2865188,127.741908,2022-06-15
166,청성면,조천,충청북도 옥천군 청성면 조천길 213,36.2831594,127.757789,2022-06-15
167,청성면,묘동,충청북도 옥천군 청성면 묘금1길 127,36.2766361,127.7131159,2022-06-15
168,청성면,용동,충청북도 옥천군 청성면 묘금3길 32,36.2754897,127.7335661,2022-06-15
169,청성면,금점,충청북도 옥천군 청성면 묘금2길 39,36.2693157,127.7146849,2022-06-15
170,청성면,원당,충청북도 옥천군 청성면 고당로3길 16-4,36.297535,127.6949181,2022-06-15
171,청성면,합금,충청북도 옥천군 청성면 합금로1길 14,36.2944125,127.6729997,2022-06-15
172,청성면,양저,충청북도 옥천군 청성면 양저로1길 14,36.2942385,127.7169941,2022-06-15
